"","h0","sigma","beta","SE.h0","SE.sigma","SE.beta","N","SE.N","h0.nomem","sigma.nomem","SE.h0.nomem","SE.sigma.nomem","N.nomem","SE.N.nomem","n","true.tau","time.memory","time.no.memory"
"38",0.954416717512646,-1.30287735341408,3.60595536712711,0.148051498112607,0.071331579761196,0.218534045020151,20.9721891552551,2.93536068536036,0.767477243338415,-1.68138712448529,0.218410784257185,0.110604653787366,25.8340584334647,4.41502950295397,15,1,66.0810661315918,28.1566770076752
"39",0.251094281499862,-1.39638847627674,4.57625172809666,0.109297769082144,0.0814515136857549,0.413471524744187,18.9677201739168,3.38147710232533,0.114488203637984,-1.367525179966,0.11562550526344,0.0836513305412883,18.9999013126618,3.39401586364555,12,1,73.7316889762878,21.1277368068695
"40",0.437357421267622,-1.32111411258118,5.00779758454295,0.12080080162293,0.0758228488556274,0.883108425193865,17.8786837800808,3.01936825588123,0.0974362812841877,-1.27870247602971,0.105041659640106,0.0813362857860867,18.2043100232475,3.12834389101053,12,1,82.6853768825531,21.8802361488342
"41",0.0607008918867752,-1.33502648874541,4.42655336456087,0.141040424492238,0.0866409208798825,0.529184168897589,18.8130172018033,3.36643347499704,-0.187781754172961,-1.32717317760353,0.118777597760274,0.109535478582439,19.3363547695807,3.58992683417376,12,5,46.4622278213501,20.3646240234375
"42",0.463264478527093,-1.4537466088487,3.34927199207461,0.188713149065803,0.0907590980987691,0.276708939661403,25.4069198793633,3.96885248464575,-0.0939098405710782,-1.37857251856645,0.14098895305463,0.105520096302653,26.1450939690855,4.2445319560109,16,5,64.766743183136,25.9952158927917
"43",1.25921471862759,-0.95764347709933,2.26810688849244,0.163352431310478,0.0711728885915603,0.186570259133416,12.743436281678,1.44284732862511,-0.0372663690227592,-1.30656064881415,0.107163780247441,0.0884621516218557,17.2060320664194,3.18046803908932,11,5,52.5524611473083,21.625207901001
"44",1.58532456169102,-1.20884512124894,2.60898016710053,0.159854283583978,0.0639973889839027,0.188952940283405,12.5912032938663,1.82373479352266,-0.046035421059341,-1.42189437392598,0.118807538211359,0.0973558325614414,16.6028395416416,3.38562996766884,10,5,56.999274969101,17.8387730121613
"45",1.68083290803456,-1.33315123517473,2.66588485575173,0.164415852300986,0.0703820431030781,0.140596588495031,13.2620468687191,2.10207431772419,0.0695914247073823,-1.45049478567143,0.143510787199439,0.169947740265195,16.6035127572163,3.63437818331018,10,5,61.9499661922455,18.6666619777679
"46",1.48279136764636,-1.13990851015739,2.69367869986382,0.15621054975417,0.0630754213163639,0.117426463759639,15.9920593293192,1.94422898573986,-0.0156622358742319,-1.29899224091659,0.0928822575854598,0.0983270697525031,20.2021427550427,3.46421870978528,13,5,68.5935678482056,31.0715057849884
"47",0.513996825161912,-1.40714525025696,3.29066156771833,0.126721711111601,0.0756541828288999,0.16605100541206,18.5096871249727,3.21613980200941,-0.0583001204840566,-1.32118645675131,0.121245762224482,0.102267166625548,18.9598341130522,3.40881829996262,12,5,71.7433078289032,21.5391399860382
